monarchrunid,ctmmlabel,ctmmsuccess,map,year,monarchid,runid,releasesiteid_arcmap,releasesiteid_repid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,15mindud,dudtime,finaldud,Responsiveness,Release,releaselandclass,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing,total.distance,stepover50,stepclass50,numstepsover50,stepover100,avgstep,turnstdev,step01,step02,step03,step04,step05,step06,step07,step08,step09,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32,step33,step34,step35,turn01,turn02,turn03,turn04,turn05,turn06,turn07,turn08,turn09,turn10,turn11,turn12,turn13,turn14,turn15,turn16,turn17,turn18,turn19,turn20,turn21,turn22,turn23,turn24,turn25,turn26,turn27,turn28,turn29,turn30,turn31,turn32,turn33,turn34,bearing01,bearing02,bearing03,bearing04,bearing05,bearing06,bearing07,bearing08,bearing09,bearing10,bearing11,bearing12,bearing13,bearing14,bearing15,bearing16,bearing17,bearing18,bearing19,bearing20,bearing21,bearing22,bearing23,bearing24,bearing25,bearing26,bearing27,bearing28,bearing29,bearing30,bearing31,bearing32,bearing33,bearing34,bearing35,windbearing,remaincross,freqcross,timebefore50mstep,timebeforecross,totalpts,croppts,edge5mpts,poorpts,richpts,totaltime,croptime,edge5mtime,poortime,richtime,firstbigsteplength,durationtofirstbigstep,stepspriortofirstbig,bigcrossfrom,bigcrossto,biginitiatefromrelease
20039b,fa,dud,dud,2020,20039,b,,,1,ada hayden,7/7/2020,0.2285,7/10/2020,3,east,n,transmitter,164.955,straight,roadside,72.5,22.5,clear,2,3.218,SSE,8:04:00,8:34:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,,,,,,,,,,,,,,,,,,,,
20042a,fd,dud,dud,2020,20042,a,,,1,ada hayden,7/8/2020,0.2155,7/10/2020,2,east,n,transmitter,164.955,straight,roadside,70,21.11111111,clear,2.5,4.0225,SSE,7:12:00,7:43:00,0:31:00,1860,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,,,,,,,,,,,,,,,,,,,,
20043a,fe,dud,dud,2020,20043,a,,,1,barb,7/8/2020,0.1309,7/10/2020,2,east,n,transmitter,164.955,straight,roadside,83.5,28.61111111,clear,0,0,SSE,10:41:00,11:14:00,0:33:00,1980,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,,,,,,,,,,,,,,,,,,,,
20045a,fh,dud,dud,2020,20045,a,,,1,jesse,7/8/2020,0.1804,7/10/2020,2,east,n,transmitter,164.955,straight,roadside,88,31.11111111,clear,1.5,2.4135,SSE,10:01:00,10:31:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,,,,,,,,,,,,,,,,,,,,
20050a,fo,dud,dud,2020,20050,a,,,1,ad prairie,7/13/2020,0.2014,7/14/2020,1,east,n,transmitter,164.955,straight,roadside,82.5,28.05555556,mostly clear,4.4,7.0796,N,12:07:00,12:43:00,0:36:00,2160,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
20058a,fx,dud,dud,2020,20058,a,,,1,jesse,7/17/2020,0.2417,7/20/2020,3,east,n,transmitter,164.066,straight,roadside,72.3,22.38888889,cloudy,0,0,,8:34:00,9:09:00,0:35:00,2100,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
20059a,fy,dud,dud,2020,20059,a,,,1,ad prairie,7/19/2020,0.1639,7/20/2020,1,east,n,transmitter,164.065,straight,roadside,76,24.44444444,cloudy,0,0,,9:18:00,9:33:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
20060a,fz,dud,dud,2020,20060,a,,,1,ad prairie,7/19/2020,0.2194,7/20/2020,1,east,n,transmitter,164.066,straight,roadside,76,24.44444444,cloudy,0,0,,9:40:00,10:22:00,0:42:00,2520,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
20063a,gc,dud,dud,2020,20063,a,,,1,barb,7/21/2020,0.1817,7/23/2020,2,east,n,transmitter,164.066,straight,roadside,80,26.66666667,clear,3,4.827,NW,10:33:00,11:03:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20065a,ge,dud,dud,2020,20065,a,,,1,uthe,7/22/2020,0.1552,7/23/2020,1,east,n,transmitter,165.365,straight,roadside,80,26.66666667,cloudy,3.5,5.6315,NW,12:41:00,13:11:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20065b,gf,dud,dud,2020,20065,b,,,1,uthe,7/22/2020,0.1552,7/24/2020,2,east,n,none,NA,,roadside,71.5,21.94444444,clear,2,3.218,N,7:22:00,7:37:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
20066a,gg,dud,dud,2020,20066,a,,,1,uthe,7/22/2020,0.152,7/24/2020,2,east,n,transmitter,165.364,straight,roadside,71,21.66666667,clear,7,11.263,NW,7:45:00,8:00:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20068a,gi,dud,dud,2020,20068,a,,,1,uthe,7/22/2020,0.2247,7/23/2020,1,east,n,transmitter,165.364,straight,roadside,78,25.55555556,clear,5.3,8.5277,NNW,9:15:00,9:54:00,0:39:00,2340,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.5,,,,,,,,,,,,,,,,,,,,
20069a,gj,dud,dud,2020,20069,a,,,1,ad prairie,7/23/2020,0.2232,7/24/2020,1,east,n,transmitter,165.364,straight,roadside,69,20.55555556,clear,7.3,11.7457,NNW,10:04:00,10:45:00,0:41:00,2460,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.5,,,,,,,,,,,,,,,,,,,,
