Transect,Distance,Location N,Location E,Classification,Grass,Forb,Bare Ground,Litter,Litter Depth,Robel N,Robel E,Robel S,Robel W
7,10m,,,poor,86,0,63,16,0,10,7,6,7
7,20m,,,poor,86,0,63,16,0,6,7,6,6
7,30m,,,poor,98,0,16,63,1,5,4,4,5
7,40m,,,poor,86,0,16,63,4,6,6,7,7
7,50m,,,poor,63,0,3,86,12,7,7,7,6
7,60m,,,poor,38,0,63,38,4,4,4,4,4
7,70m,,,poor,86,0,16,86,9.5,4,5,3,5
7,80m,,,poor,98,1,16,86,13,4,4,4,4
7,90m,,,poor,86,3,16,86,3,5,5,6,6
8,0m,,,poor,86,0,38,38,0.5,6,6,6,6
8,10m,,,poor,86,1,16,86,1.5,3,3,4,3
8,20m,,,poor,63,16,16,86,1,5,6,6,7
8,30m,,,poor,63,38,16,86,3.5,4,4,4,4
8,40m,,,poor,63,3,38,38,1,6,6,6,8
8,50m,,,poor,86,0,16,63,4,3,3,3,3
8,60m,,,poor,63,3,16,86,4.5,5,5,6,4
8,70m,,,poor,38,1,63,16,0,6,6,6,6
8,80m,,,poor,63,16,16,63,1,4,5,4,4
8,90m,,,poor,38,16,16,63,0.5,4,4,3,4
11,0m,,,poor,98,1,63,16,0,6,6,6,6
11,10m,,,poor,86,0,63,16,0,7,7,7,7
11,20m,,,poor,98,0,63,16,0.5,8,8,8,8
11,30m,,,poor,86,0,63,16,0,8,8,8,8
11,40m,,,poor,63,0,63,16,0,9,8,8,8
11,50m,,,poor,63,1,63,16,0,7,7,7,7
11,60m,,,poor,63,0,63,16,0,7,7,7,7
11,70m,,,poor,86,0,63,16,0,5,5,5,5
11,80m,,,poor,63,16,63,16,0.5,5,6,5,5
11,90m,,,poor,63,1,63,16,0,5,4,5,6
14,0m,,,poor,63,0,38,16,0,6,6,6,6
14,10m,,,poor,63,0,38,16,2,2,2,3,2
14,20m,,,poor,38,0,38,86,7,9,11,7,6
14,30m,,,poor,86,0,38,38,13,7,6,4,2
14,40m,,,poor,63,0,38,86,9,5,5,2,5
14,50m,,,poor,86,3,63,3,0,5,5,5,5
14,60m,,,poor,63,3,86,16,0,3,3,3,3
14,70m,,,poor,86,16,98,16,0,3,3,3,3
14,80m,,,poor,86,16,98,16,0,5,5,5,5
14,90m,,,poor,98,16,98,16,1,6,7,7,6
5,0m,,,rich,16,38,38,86,2.5,4,7,6,5
5,10m,,,rich,38,63,3,86,7,8,8,10,8
5,20m,,,rich,38,63,0,98,12,10,10,11,10
5,30m,,,rich,38,38,0,98,5.5,4,8,4,2
5,40m,,,rich,16,86,3,86,5,11,11,12,8
5,50m,,,rich,63,3,0,98,6.25,5,6,3,5
5,60m,,,rich,38,63,3,86,5,6,8,10,4
5,70m,,,rich,63,38,0,98,5,6,8,8,4
5,80m,,,rich,38,16,0,98,10,9,10,10,6
5,90m,,,rich,38,16,3,98,8,6,6,5,4
6,0m,,,rich,38,3,38,63,0,3,3,3,3
6,10m,,,rich,38,3,63,38,0,4,4,4,4
6,20m,,,rich,38,38,63,38,0,3,3,3,3
6,30m,,,rich,38,38,63,38,0,4,2,3,3
6,40m,,,rich,38,38,63,63,0.5,4,2,6,6
6,50m,,,rich,38,63,16,86,0.5,3,3,3,3
6,60m,,,rich,16,86,16,86,2,6,6,5,7
6,70m,,,rich,38,38,63,38,1,4,2,2,2
6,80m,,,rich,63,38,16,86,3.5,5,5,5,5
6,90m,,,rich,63,38,16,86,2.5,1,1,2,1
9,0m,,,rich,63,16,63,16,0,10,9,4,4
9,10m,,,rich,16,63,63,38,0.25,6,6,6,8
9,20m,,,rich,38,3,86,16,0,5,4,4,5
9,30m,,,rich,63,16,38,63,0.5,6,6,6,7
9,40m,,,rich,63,3,63,38,0.25,8,4,4,4
9,50m,,,rich,38,16,16,63,1,5,7,8,10
9,60m,,,rich,16,86,16,63,0.5,5,8,10,10
9,70m,,,rich,16,63,38,38,0,4,6,8,12
9,80m,,,rich,16,86,16,86,0.5,4,4,4,4
9,90m,,,rich,63,3,16,86,4,6,6,6,6
12,0m,,,rich,38,38,63,16,0,2,5,2,6
12,10m,,,rich,16,86,63,16,1,9,10,12,9
12,20m,,,rich,38,38,63,16,0,3,6,5,6
12,30m,,,rich,38,38,63,16,0,6,6,8,6
12,40m,,,rich,63,16,63,63,1,3,2,4,10
12,50m,,,rich,63,16,63,16,0,3,3,4,4
12,60m,,,rich,86,16,63,16,0.25,5,4,4,5
12,70m,,,rich,63,16,63,3,0,3,4,3,3
12,80m,,,rich,86,16,63,16,0,4,4,4,4
12,90m,,,rich,86,3,63,16,0,4,4,3,5
13,0m,,,rich,86,16,16,98,4,3,3,3,3
13,10m,,,rich,86,16,16,98,6,3,3,3,3
13,20m,,,rich,63,0,16,98,4,2,2,2,2
13,30m,,,rich,98,1,16,98,8,2,2,2,2
13,40m,,,rich,63,16,16,98,8,4,4,4,4
13,50m,,,rich,63,16,16,98,9,4,4,4,4
13,60m,,,rich,63,38,16,98,6,4,4,4,4
13,70m,,,rich,86,16,16,98,13,4,4,4,4
13,80m,,,rich,63,16,3,98,10,5,5,5,5
13,90m,,,rich,86,16,3,98,11,4,4,4,4
15,0m,,,rich,63,16,16,86,5,4,4,4,4
15,10m,,,rich,63,3,3,86,4.5,7,3,6,3
15,20m,,,rich,86,16,0,98,2.5,4,5,4,4
15,30m,,,rich,63,38,3,86,3.5,5,5,8,5
15,40m,,,rich,38,38,3,86,3.5,6,7,2,3
15,50m,,,rich,63,16,3,98,4,4,4,6,4
15,60m,,,rich,63,3,0,98,2,4,4,6,2
15,70m,,,rich,63,16,16,86,5,6,8,7,8
15,80m,,,rich,63,3,3,86,2.5,5,5,6,5
15,90m,,,rich,63,16,0,98,2.5,4,3,5,5
AD,0m,,,rich,63,38,16,86,1,7,7,7,7
AD,10m,,,rich,16,98,16,86,3,13,13,13,13
AD,20m,,,rich,3,63,16,86,3,14,14,14,14
AD,30m,,,rich,3,98,16,86,3,16,16,16,16
AD,40m,,,rich,3,98,16,86,3,16,16,16,16
AD,50m,,,rich,63,38,16,86,3,6,6,6,6
AD,60m,,,rich,16,63,16,86,3,6,6,6,6
AD,70m,,,rich,63,38,16,86,3,5,5,5,5
AD,80m,,,rich,16,86,16,86,3,5,5,5,5
AD,90m,,,rich,16,86,16,86,3,7,7,7,7
