"","monarchrunid","ctmmlabel.x","occurrence.model","ctmmlabel.y","year","monarchid","runid","releasesiteid","monarchcatchsite","monarchcatchdate","monarchmass","trialdate","dayscaptive","trialsite","samecatchtrial","attachment","transmitterid","transantenna","experiment","temp","tempc","cloud","windspeed","windkph","winddirection","starttime","endtime","timeobs","secobserved","numpoints","firstlandon","fly","dudtime","Release","releaseN","releaseE","lastN","lastE","lastlandcover","euclidiandistance","euclidianbearing","windbearing","windcor","adjeucbear","euclidianbearingdeg","adjeucbeardeg"
"16","19069a","ar","","ar",2019,19069,"a",9,"GM","7/16/2019",0.4613,"7/18/2019",2,"GM","y","none",NA,"","habitatutilization",89.4,31.88888889,"cloudy",5.5,8.8495,"N","13:13:00","14:06:00","0:53:00",3180,23,"grass","fly",NA,"corn",4751773.57,525672.7841,525728.2323,4751800.708,"na",61.73308616,63.92149782,0,63.92149782,63.92149782,63.92149782,63.92149782
"17","19070a","as","yes","as",2019,19070,"a",6,"GM","7/17/2019",0.2378,"7/19/2019",2,"GM","y","transmitter",89,"bent","habitatutilization",83,28.33333333,"clear",4.4,7.0796,"NE","0:08:30","0:31:55","0:23:25",1405,4,"oxeye sunflower","fly",NA,"prairie",4751718.51,525688.4389,525837.7775,4751909.04,"prairie",242.0820075,38.08956935,45,-6.91043065,353.08956935,38.08956935,353.08956935
"20","19073a","av","yes","av",2019,19073,"a",6,"GM","7/17/2019",NA,"7/20/2019",3,"GM","y","none",NA,"","habitatutilization",84.6,29.22222222,"mostly cloudy",5.1,8.2059,"NNE","8:00:00","8:06:48","0:06:48",408,7,"oxeye sunflower","fly",NA,"prairie",4751699.717,525658.0695,525602.8702,4751758.144,"prairie",80.37833694,316.6271222,22.5,294.1271222,294.1271222,316.6271222,294.1271222
"21","19074a","aw","yes","aw",2019,19074,"a",6,"GM","7/17/2019",0.3991,"7/20/2019",3,"GM","y","none",NA,"","habitatutilization",81.6,27.55555556,"cloudy",6,9.654,"NE","8:33:00","9:33:00","1:00:00",3600,8,"wild bergamot","fly",NA,"prairie",4751699.88,525658.0664,525668.3935,4751699.038,"na",10.36136856,94.66118949,45,49.66118949,49.66118949,94.66118949,49.66118949
"23","19078a","ay","","ay",2019,19078,"a",6,"GM","7/18/2019",0.2621,"7/20/2019",2,"GM","y","transmitter",89,"bent","habitatutilization",86.3,30.16666667,"cloudy",4.4,7.0796,"NE","10:26:00","10:56:00","0:30:00",1800,1,"grass","fly",NA,"prairie",4751701.05,525658.9494,525658.0297,4751699.977,"prairie",1.413215161,220.6008549,45,175.6008549,175.6008549,220.6008549,175.6008549
"24","19079a","az","yes","az",2019,19079,"a",10,"GM","7/18/2019",NA,"7/20/2019",2,"GM","y","none",NA,"","habitatutilization",86.2,30.11111111,"cloudy",5.8,9.3322,"NNE","11:34:00","11:35:15","0:01:15",75,2,"lost","fly",NA,"edge",4751778.489,525688.5712,525855.5916,4751850.526,"prairie",181.8932197,66.66914483,22.5,44.16914483,44.16914483,66.66914483,44.16914483
"26","19082a","bb","","bb",2019,19082,"a",10,"GM","7/19/2019",0.1975,"7/21/2019",2,"GM","y","transmitter",89,"bent","habitatutilization",77.3,25.16666667,"cloudy",4.8,7.7232,"SSW","10:17:00","11:23:00","1:06:00",3960,4,"bare ground","fly",NA,"edge",4751933.931,525680.5976,525682.4578,4751933.571,"na",1.894714765,100.9529134,202.5,-101.5470866,258.4529134,100.9529134,258.4529134
"28","19085a","bd","","bd",2019,19085,"a",10,"GM","7/19/2019",0.4806,"7/23/2019",4,"GM","y","none",NA,"","habitatutilization",80.1,26.72222222,"clear",5.6,9.0104,"SSE","13:01:00","14:10:00","1:09:00",4140,4,"grass","fly",NA,"edge",4751961.651,525681.4528,525687.2841,4751972.656,"prairie",12.45448051,27.91810223,157.5,-129.58189777,230.41810223,27.91810223,230.41810223
"30","19090a","bg","yes","bg",2019,19090,"a",10,"GM","7/20/2019",0.1505,"7/21/2019",1,"GM","y","transmitter",89,"bent","habitatutilization",80.6,27,"cloudy",3.1,4.9879,"SSW","11:54:00","12:27:24","0:33:24",2004,2,"grass","fly",NA,"edge",4751934.293,525682.6181,525683.044,4751933.866,"prairie",0.603091875,135.0738953,202.5,-67.4261047,292.5738953,135.0738953,292.5738953
"31","19091a","bh","yes","bh",2019,19091,"a",10,"GM","7/21/2019",0.2993,"7/22/2019",1,"GM","y","transmitter",89,"bent","habitatutilization",80.6,27,"clear",4.8,7.7232,"SSW","9:36:00","10:12:48","0:36:48",2208,2,"corn","fly",NA,"edge",4751941.967,525682.6757,525682.0732,4751944.24,"prairie",2.351496385,345.1541223,202.5,142.6541223,142.6541223,345.1541223,142.6541223
"33","19098a","bj","yes","bj",2019,19098,"a",10,"GM","7/21/2019",0.1782,"7/22/2019",1,"GM","y","transmitter",89,"bent","habitatutilization",78.5,25.83333333,"mostly clear",8.5,13.6765,"S","10:27:00","10:45:45","0:18:45",1125,2,"grass","fly",NA,"edge",4751916.542,525684.6381,525686.9001,4751901.972,"corn",14.74454286,171.1752509,180,-8.82474909999999,351.1752509,171.1752509,351.1752509
"35","19105a","bl","","bl",2019,19105,"a",10,"GM","7/21/2019",NA,"7/22/2019",1,"GM","y","transmitter",88,"bent","habitatutilization",77.3,25.16666667,"mostly cloudy",2.8,4.5052,"SSW","12:07:00","12:44:00","0:37:00",2220,7,"grass","fly",NA,"edge",4751916.403,525684.6871,525670.32,4751433.829,"prairie",482.7878199,181.7052952,202.5,-20.7947048,339.2052952,181.7052952,339.2052952
"36","19106a","bm","","bm",2019,19106,"a",10,"GM","7/21/2019",0.1944,"7/23/2019",2,"GM","y","none",NA,"","habitatutilization",71.9,22.16666667,"clear",4.4,7.0796,"S","9:10:00","9:25:00","0:15:00",900,4,"corn","fly",NA,"edge",4751962.849,525682.0456,525693.6796,4751950.388,"na",17.04777044,136.9657612,180,-43.0342388,316.9657612,136.9657612,316.9657612
"37","19108a","bn","","bn",2019,19108,"a",10,"GM","7/21/2019",NA,"7/23/2019",2,"GM","y","none",NA,"","habitatutilization",75,23.88888889,"clear",3.1,4.9879,"S","9:39:00","9:43:02","0:04:02",242,6,"corn","fly",NA,"edge",4751961.664,525681.3918,525705.7415,4751759.197,"prairie",203.9259522,173.1422575,180,-6.8577425,353.1422575,173.1422575,353.1422575
"39","19119a","bp","","bp",2019,19119,"a",10,"GM","7/22/2019",NA,"7/23/2019",1,"GM","y","none",NA,"","habitatutilization",77.4,25.22222222,"clear",4.4,7.0796,"SSE","10:17:00","10:24:30","0:07:30",450,6,"wild bergamot","fly",NA,"edge",4751964.426,525684.5597,525703.1138,4751758.784,"na",206.4773275,174.8444338,157.5,17.3444338,17.3444338,174.8444338,17.3444338
"42","19123a","bs","","bs",2019,19123,"a",10,"GM","7/22/2019",NA,"7/23/2019",1,"GM","y","none",NA,"","habitatutilization",78.6,25.88888889,"clear",3.3,5.3097,"S","11:34:00","11:52:45","0:18:45",1125,5,"grass","fly",NA,"edge",4751962.994,525682.1261,525722.6296,4751910.699,"na",66.14605459,142.2415177,180,-37.7584823,322.2415177,142.2415177,322.2415177
"43","19125a","bt","","bt",2019,19125,"a",10,"GM","7/22/2019",NA,"7/23/2019",1,"GM","y","none",NA,"","habitatutilization",80.8,27.11111111,"clear",4.8,7.7232,"SE","13:35:00","13:49:45","0:14:45",885,7,"wild bergamot","fly",NA,"edge",4751963.942,525684.8531,525819.815,4751902.265,"prairie",148.3872191,114.5601941,135,-20.4398059,339.5601941,114.5601941,339.5601941
"44","19127a","bu","","bu",2019,19127,"a",10,"GM","7/22/2019",0.3117,"7/23/2019",1,"GM","y","none",NA,"","habitatutilization",78.9,26.05555556,"clear",4,6.436,"SE","12:10:00","12:47:08","0:37:08",2228,3,"grass","fly",NA,"edge",4751964.461,525684.8503,525684.5964,4751963.763,"na",0.742744377,199.989038,135,64.989038,64.989038,199.989038,64.989038
"45","19130a","bv","","bv",2019,19130,"a",9,"GM","7/23/2019",NA,"7/24/2019",1,"GM","y","none",NA,"","habitatutilization",72.2,22.33333333,"clear",1.3,2.0917,"SE","9:17:00","9:29:50","0:12:50",770,2,"corn","fly",NA,"corn",4751771.062,525675.8424,525676.71,4751766.497,"prairie",4.646714404,169.2390045,135,34.2390045,34.2390045,169.2390045,34.2390045
"46","19131a","bw","","bw",2019,19131,"a",9,"GM","7/23/2019",0.3355,"7/24/2019",1,"GM","y","transmitter",89,"bent","habitatutilization",85.3,29.61111111,"clear",0,0,"SSE","10:55:00","11:22:20","0:27:20",1640,8,"corn","fly",NA,"corn",4751771.196,525675.4279,525813.4922,4751756.037,"na",138.8940107,96.26578741,157.5,-61.23421259,298.76578741,96.26578741,298.76578741
"47","19132a","bx","","bx",2019,19132,"a",9,"GM","7/23/2019",NA,"7/24/2019",1,"GM","y","transmitter",89,"bent","habitatutilization",86.4,30.22222222,"clear",1.3,2.0917,"SE","11:50:00","12:04:53","0:14:53",893,6,"bare ground","fly",NA,"corn",4751771.246,525676.1271,525781.7628,4751774.417,"grass",105.6832832,88.28059667,135,-46.71940333,313.28059667,88.28059667,313.28059667
"49","19134a","bz","","bz",2019,19134,"a",9,"GM","7/23/2019",NA,"7/24/2019",1,"GM","y","transmitter",89,"bent","habitatutilization",84.5,29.16666667,"clear",1.7,2.7353,"E","13:07:00","13:34:00","0:27:00",1620,12,"corn","fly",NA,"corn",4751770.99,525675.5829,525312.7008,4751693.903,"na",370.9795467,258.0069449,90,168.0069449,168.0069449,258.0069449,168.0069449
"50","19136a","ca","","ca",2019,19136,"a",9,"GM","7/23/2019",0.3555,"7/25/2019",2,"GM","y","transmitter",11,"bent","habitatutilization",74,23.33333333,"mostly clear",2,3.218,"N","9:27:00","9:56:00","0:29:00",1740,14,"corn","fly",NA,"corn",4751770.968,525675.7506,525790.8361,4751774.038,"na",115.1264401,88.47195052,0,88.47195052,88.47195052,88.47195052,88.47195052
"51","19137a","cb","","cb",2019,19137,"a",9,"GM","7/23/2019",NA,"7/25/2019",2,"GM","y","transmitter",11,"bent","habitatutilization",81,27.22222222,"mostly clear",6.5,10.4585,"NNE","11:12:00","11:44:00","0:32:00",1920,13,"corn","fly",NA,"corn",4751770.432,525674.7839,525533.6238,4752595.011,"na",836.5743847,350.2856725,22.5,327.7856725,327.7856725,350.2856725,327.7856725
"52","19138a","cc","","cc",2019,19138,"a",4,"GM","7/24/2019",NA,"7/27/2019",3,"GM","y","none",NA,"","habitatutilization",76.6,24.77777778,"clear",4,6.436,"NE","8:33:00","8:44:45","0:11:45",705,11,"grass","fly",NA,"grass",4751700.942,525561.6533,525542.326,4751678.821,"na",29.37487304,221.1439798,45,176.1439798,176.1439798,221.1439798,176.1439798
"53","19139a","cd","","cd",2019,19139,"a",4,"GM","7/24/2019",0.5115,"7/27/2019",3,"GM","y","none",NA,"","habitatutilization",80.5,26.94444444,"clear",3,4.827,"E","9:11:00","9:25:36","0:14:36",876,7,"grass","fly",NA,"grass",4751701.51,525562.6689,525573.7986,4751664.27,"na",38.86756774,163.3604816,90,73.3604816,73.3604816,163.3604816,73.3604816
"54","19140a","ce","","ce",2019,19140,"a",6,"GM","7/24/2019",0.3324,"7/27/2019",3,"GM","y","none",NA,"","habitatutilization",87.2,30.66666667,"clear",2,3.218,"E","10:01:00","10:21:00","0:20:00",1200,14,"grass","fly",NA,"prairie",4751707.539,525615.7657,525600.5031,4751729.234,"na",26.52583616,324.8733177,90,234.8733177,234.8733177,324.8733177,234.8733177
"55","19142a","cf","","cf",2019,19142,"a",6,"GM","7/24/2019",NA,"7/27/2019",3,"GM","y","none",NA,"","habitatutilization",86.2,30.11111111,"clear",1.5,2.4135,"E","11:15:00","11:26:35","0:11:35",695,15,"grass","fly",NA,"prairie",4751707.347,525615.474,525536.9656,4751807.255,"na",127.0636743,321.8394911,90,231.8394911,231.8394911,321.8394911,231.8394911
"56","19143a","cg","","cg",2019,19143,"a",6,"GM","7/24/2019",0.4111,"7/27/2019",3,"GM","y","transmitter",12,"bent","habitatutilization",93,33.88888889,"clear",1,1.609,"E","12:26:00","13:36:00","1:10:00",4200,11,"wild bergamot","fly",NA,"prairie",4751707.418,525615.9569,525561.1498,4751789.016,"na",98.2957365,326.1118438,90,236.1118438,236.1118438,326.1118438,236.1118438
"58","19147a","ci","","ci",2019,19147,"a",7,"GM","7/26/2019",0.4876,"7/28/2019",2,"GM","y","none",NA,"","habitatutilization",73.2,22.88888889,"mostly cloudy",6.8,10.9412,"N","8:40:00","9:40:00","1:00:00",3600,10,"wild bergamot","fly",NA,"prairie",4751791.264,525517.0347,525504.2242,4751767.212,"na",27.25082777,208.0405161,0,208.0405161,208.0405161,208.0405161,208.0405161
"60","19149b","ck","","ck",2019,19149,"b",7,"GM","7/26/2019",NA,"7/28/2019",2,"GM","y","none",NA,"","habitatutilization",89.1,31.72222222,"mostly cloudy",7.1,11.4239,"N","11:49:00","12:06","0:17:00",1020,5,"grass","fly",NA,"prairie",4751791.504,525517.1878,525466.1224,4751834.397,"prairie",66.68946338,310.0289857,0,310.0289857,310.0289857,310.0289857,310.0289857
"61","19151a","cl","","cl",2019,19151,"a",7,"GM","7/26/2019",0.2704,"7/28/2019",2,"GM","y","transmitter",12,"bent","habitatutilization",83.5,28.61111111,"mostly clear",2.6,4.1834,"N","10:29:00","11:20:06","0:51:06",3066,6,"grass","fly",NA,"prairie",4751791.631,525517.2017,525539.5887,4751801.3,"na",24.38580181,66.64036618,0,66.64036618,66.64036618,66.64036618,66.64036618
"62","19153a","cm","","cm",2019,19153,"a",7,"GM","7/27/2019",NA,"7/28/2019",1,"GM","y","none",NA,"","habitatutilization",92.1,33.38888889,"mostly cloudy",6.4,10.2976,"N","12:28:00","13:00:40","0:32:40",1960,23,"wild bergamot","fly",NA,"prairie",4751791.817,525517.516,525490.049,4751712.244,"prairie",84.18015454,199.0436449,0,199.0436449,199.0436449,199.0436449,199.0436449
"64","19158a","co","","co",2019,19158,"a",NA,"GM","7/31/2019",0.3631,"8/1/2019",1,"GM","y","transmitter",13,"straight","habitatutilization",84.2,29,"mostly cloudy",0.2,0.3218,"N","9:51:00","10:21:00","0:30:00",1800,2,"bare ground","fly",NA,"edge",4751806.784,525539.8245,525539.6064,4751806.263,"na",0.564808472,202.7150652,0,202.7150652,202.7150652,202.7150652,202.7150652
"67","19161a","cr","","cr",2019,19161,"a",8,"GM","8/1/2019",NA,"8/2/2019",1,"GM","y","transmitter",13,"straight","habitatutilization",72,22.22222222,"mostly clear",2,3.218,"N","9:06:00","9:21:20","0:15:20",920,6,"bare ground","fly",NA,"corn",4751780.584,525545.6888,525560.9526,4751780.955,"prairie",15.26830807,88.60765015,0,88.60765015,88.60765015,88.60765015,88.60765015
"68","19162a","cs","","cs",2019,19162,"a",8,"GM","8/1/2019",NA,"8/2/2019",1,"GM","y","transmitter",13,"straight","habitatutilization",74.7,23.72222222,"clear",4.2,6.7578,"N","10:11:00","10:33:00","0:22:00",1320,5,"corn","fly",NA,"corn",4751779.888,525546.0058,525571.7713,4751792.683,"na",28.76756881,63.59126795,0,63.59126795,63.59126795,63.59126795,63.59126795
"69","19163a","ct","","ct",2019,19163,"a",8,"GM","8/1/2019",0.2975,"8/2/2019",1,"GM","y","transmitter",90,"bent","habitatutilization",88,31.11111111,"clear",1.5,2.4135,"NW","11:52:00","12:22:00","0:30:00",1800,2,"bare ground","fly",NA,"corn",4751779.401,525545.6905,525545.389,4751778.549,"na",0.90377334,199.4875088,315,-115.5124912,244.4875088,199.4875088,244.4875088
"70","19164a","cu","","cu",2019,19164,"a",5,"GM","8/1/2019",0.2814,"8/3/2019",2,"GM","y","transmitter",14,"straight","habitatutilization",82.1,27.83333333,"mostly clear",0.4,0.6436,"SW","9:54:00","10:54","1:00:00",3600,6,"grass","fly",NA,"grass",4751932.345,525784.8643,525826.6004,4751947.86,"corn",44.52659057,69.60785932,225,-155.39214068,204.60785932,69.60785932,204.60785932
"71","19165a","cv","","cv",2019,19165,"a",5,"GM","8/1/2019",0.2691,"8/3/2019",2,"GM","y","transmitter",14,"straight","habitatutilization",88.6,31.44444444,"clear",2,3.218,"SW","11:16:00","12:06","0:50:00",3000,30,"grass","fly",NA,"grass",4751932.043,525784.6842,525871.7784,4751876.089,"prairie",103.5193209,122.7188713,225,-102.2811287,257.7188713,122.7188713,257.7188713
"72","19167a","cw","","cw",2019,19167,"a",5,"GM","8/1/2019",0.2926,"8/3/2019",2,"GM","y","transmitter",14,"straight","habitatutilization",82.2,27.88888889,"clear",2.4,3.8616,"W","13:07:00","13:41","0:34:44",2084,2,"grass","fly",NA,"grass",4751933.66,525785.0592,525785.0421,4751935.59,"na",1.930075752,359.4923667,270,89.4923667,89.4923667,359.4923667,89.4923667
"73","19168a","cx","","cx",2019,19168,"a",5,"GM","8/1/2019",0.3255,"8/3/2019",2,"GM","y","transmitter",14,"straight","habitatutilization",92,33.33333333,"clear",2.5,4.0225,"W","14:01:00","14:54:57","0:53:57",3237,10,"grass","fly",NA,"grass",4751934.042,525784.6056,525566.6679,4752157.854,"grass",312.3918252,315.761863,270,45.761863,45.761863,315.761863,45.761863
"75","19171a","cz","","cz",2019,19171,"a",9,"GM","8/2/2019",0.2479,"8/4/2019",2,"GM","y","transmitter",14,"straight","habitatutilization",76.5,24.72222222,"clear",0.2,0.3218,"NW","9:45:00","10:32:25","0:47:25",2845,10,"bare ground","fly",NA,"corn",4751771.747,525675.87,525643.6805,4751774.685,"roadside",32.32330049,275.2150509,315,-39.7849491,320.2150509,275.2150509,320.2150509
"76","19172a","da","","da",2019,19172,"a",10,"GM","8/2/2019",0.3293,"8/4/2019",2,"GM","y","transmitter",14,"straight","habitatutilization",89,31.66666667,"clear",0,0,"NE","11:08:00","12:02:00","0:54:00",3240,4,"grass","fly",NA,"edge",4751768.766,525689.5184,525690.5899,4751769.059,"corn",1.110838085,74.70642925,45,29.70642925,29.70642925,74.70642925,29.70642925
"77","19173a","db","","db",2019,19173,"a",10,"GM","8/3/2019",0.305,"8/4/2019",1,"GM","y","transmitter",14,"straight","habitatutilization",86,30,"mostly clear",0,0,"NE","12:10:00","13:10:00","1:00:00",3600,18,"grass","fly",NA,"edge",4751768.535,525690.0647,525741.8938,4751905.737,"prairie",146.6650756,20.69443966,45,-24.30556034,335.69443966,20.69443966,335.69443966
"78","19174a","dc","","dc",2019,19174,"a",3,"GM","8/4/2019",0.4384,"8/5/2019",1,"GM","y","none",NA,"","habitatutilization",86.3,30.16666667,"mostly cloudy",3.3,5.3097,"NE","11:05:00","12:05","1:00:00",3600,37,"common milkweed","fly",NA,"grass",4751853.68,525484.4662,525518.1955,4751851.736,"prairie",33.78527511,93.29861304,45,48.29861304,48.29861304,93.29861304,48.29861304
"80","19175a","de","","de",2019,19175,"a",3,"GM","8/4/2019",0.6143,"8/5/2019",1,"GM","y","none",NA,"","habitatutilization",71,21.66666667,"mostly cloudy",2,3.218,"N","8:08:00","9:08:00","1:00:00",3600,7,"common milkweed","fly",NA,"grass",4751852.94,525484.2504,525473.9616,4751796.902,"prairie",56.97470359,190.4038599,0,190.4038599,190.4038599,190.4038599,190.4038599
"81","19176a","df","","df",2019,19176,"a",3,"GM","8/4/2019",0.4442,"8/5/2019",1,"GM","y","none",NA,"","habitatutilization",74.2,23.44444444,"mostly cloudy",2,3.218,"N","9:25:00","10:25","1:00:00",3600,11,"wild bergamot","fly",NA,"grass",4751853.577,525484.2293,525512.2599,4751868.235,"grass",31.63181153,62.39364906,0,62.39364906,62.39364906,62.39364906,62.39364906
"83","19179a","di","","di",2019,19179,"a",3,"GM","8/5/2019",0.4528,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",72.2,22.33333333,"clear",3,4.827,"S","9:02:00","10:02","1:00:00",3600,7,"grass","fly",NA,"grass",4751891.154,525487.5376,525506.9929,4751889.939,"prairie",19.49320197,93.57352917,180,-86.42647083,273.57352917,93.57352917,273.57352917
"84","19180a","dj","","dj",2019,19180,"a",3,"GM","8/5/2019",NA,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",75.8,24.33333333,"clear",2.4,3.8616,"S","10:20:00","10:43:00","0:23:00",1380,14,"common milkweed","fly",NA,"grass",4751891.496,525487.5699,525434.1292,4751792.961,"prairie",112.0939545,208.4732997,180,28.4732997,28.4732997,208.4732997,28.4732997
"85","19181a","dk","","dk",2019,19181,"a",3,"GM","8/5/2019",NA,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",81.6,27.55555556,"clear",3.8,6.1142,"S","11:04:00","11:09:57","0:05:57",357,5,"corn","fly",NA,"grass",4751891.858,525487.7084,525386.3056,4751871.646,"pasture",103.3975473,258.727321,180,78.727321,78.727321,258.727321,78.727321
"86","19182a","dl","","dl",2019,19182,"a",3,"GM","8/5/2019",0.5128,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",84.3,29.05555556,"clear",3.8,6.1142,"SW","11:56:00","11:58:18","0:02:18",138,7,"common milkweed","fly",NA,"grass",4751891.457,525487.1763,525421.1606,4751759.29,"na",147.7368896,206.5415327,225,-18.4584673,341.5415327,206.5415327,341.5415327
"87","19183a","dm","","dm",2019,19183,"a",3,"GM","8/5/2019",NA,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",81.3,27.38888889,"clear",4.9,7.8841,"SW","12:12:00","12:15:55","0:03:55",235,4,"common milkweed","fly",NA,"grass",4751891.11,525487.0003,525421.1606,4751759.29,"na",147.3478147,206.5406012,225,-18.4593988,341.5406012,206.5406012,341.5406012
"88","19184a","dn","","dn",2019,19184,"a",3,"GM","8/5/2019",NA,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",88.6,31.44444444,"clear",4.6,7.4014,"SSW","12:32:00","12:47:13","0:15:13",913,11,"corn","fly",NA,"grass",4751891.815,525487.9169,525298.922,4751590.673,"na",355.535619,212.1121335,202.5,9.6121335,9.6121335,212.1121335,9.6121335
"89","19185a","do","","do",2019,19185,"a",5,"GM","8/5/2019",0.6399,"8/7/2019",2,"GM","y","none",NA,"","habitatutilization",68.5,20.27777778,"mostly cloudy",1.7,2.7353,"NE","8:26:00","9:07:35","0:41:35",2495,4,"grass","fly",NA,"grass",4751924.24,525786.7482,525784.1159,4751922.38,"na",3.22313563,234.7547284,45,189.7547284,189.7547284,234.7547284,189.7547284
"90","19186a","dp","","dp",2019,19186,"a",5,"GM","8/5/2019",NA,"8/7/2019",2,"GM","y","none",NA,"","habitatutilization",76.9,24.94444444,"mostly cloudy",1.5,2.4135,"NE","9:19:00","10:19:00","1:00:00",3600,23,"common milkweed","fly",NA,"grass",4751923.688,525786.7317,525856.1494,4751950.198,"grass",74.30745032,69.09858957,45,24.09858957,24.09858957,69.09858957,24.09858957
"91","19187a","dq","","dq",2019,19187,"a",5,"GM","8/5/2019",NA,"8/7/2019",2,"GM","y","none",NA,"","habitatutilization",84,28.88888889,"mostly clear",6.7,10.7803,"ENE","10:50:00","11:48:15","0:58:15",3495,30,"grass","fly",NA,"grass",4751924.04,525786.5995,525793.2097,4751675.665,"prairie",248.4629457,178.475502,67.5,110.975502,110.975502,178.475502,110.975502
